id,created,updated,name,org_id,parent_id,level
1,1567296000,1567296000,FS-BLDGSRVC ADMIN-ADMIN,6688bff9,9eef11ef,6
2,1567296000,1567296000,LS-SESP,8b1d7ed0,0c8394c4,6
3,1567296000,1567296000,MD-CTSI-JAX OFFCE RESRCH AFFRS,93da2b64,72a472be,6
4,1567296000,1567296000,JX-RADIATION ONCOLOGY-JAX,23dfeca5,488291c2,4
5,1567296000,1567296000,AG-FISHERIES / AQUATIC SCI,678abeef,0df956be,4
6,1567296000,1567296000,UPD-FEDERAL FORFEITURES,d2403c40,58d1beb8,7
7,1567296000,1567296000,VM-ANESTHISIA,4dda30d7,c858d165,5
8,1567296000,1567296000,HN-HARN GENERAL,35770034,4ff2d99b,6
9,1567296000,1567296000,HO-59-I/S EARNINGS,43c19881,36819570,6
10,1567296000,1567296000,EG- AUXILIARY ADMINISTRATION,52626813,2e565705,6
11,1567296000,1567296000,MD-PHYSIOLOGY-GENERAL,98ab952b,ee89a6a2,5
12,1567296000,1567296000,TT-TREEO PROGRAM,838ef2d9,07383692,6
13,1567296000,1567296000,AG-AEC-FACULTY-PROGRAM 09,652c59fa,edd46975,5
14,1567296000,1567296000,FS-OPER HC OPER ENGR,5f449ca6,16c8c44e,5
15,1567296000,1567296000,CJC-WUFT-TV,c3a6bbd5,0d94ea35,6
16,1567296000,1567296000,HA-ACADMIC HLTH CTR CLIN MKTG,c398f3d9,1c4b185a,6
17,1567296000,1567296000,VM-DERMATOLOGY,450454f6,a0b5cc8b,5
18,1567296000,1567296000,MD-CTSI-MULTI-SITE SUPPORT,1370a96f,72a472be,6
19,1567296000,1567296000,PH-PHARMACY DISTANCE CAMPUSES,9ffdc13e,9d0c930e,4
20,1567296000,1567296000,HP-ADMINISTRATION,1d5df272,bbd896a7,5
21,1567296000,1567296000,MD-RESEARCH ADMIN & COMPLIANCE,838df4bd,7a415d74,5
22,1567296000,1567296000,JX-PEDIATRICS-JACKSONVILLE,d6d78e6c,488291c2,4
23,1567296000,1567296000,NR-DEAN-ADMINISTRATION,1e368937,c1c138f2,5
24,1567296000,1567296000,PH-DC SAL OFST-PHAR OUTCM FAC5,61cb6c88,3b2bdba5,5
25,1567296000,1567296000,CNS-MANAGEMENT,2d13a3c3,3e205c02,6
26,1567296000,1567296000,EG-INNOV NUC SPC PWR / PROPUL,da3dbf72,96263bf6,6
27,1567296000,1567296000,MD-MEDICINE CHAIRMAN,edd98df6,5186ba4a,6
28,1567296000,1567296000,MD-GENETICS INSTITUTE-GEN,59133ed0,d5897995,5
